Pokémon,Frecuencia Absoluta,Frecuencia Acumulada,Frecuencia Relativa,Frecuencia Relativa Acumulada,Frecuencia Relativa (%),Frecuencia Relativa Acumulada (%),porcentaje de uso
Focus Sash,535,535,0.12131519274376418,0.12131519274376418,12.13,12.13,72.79
Assault Vest,529,1064,0.1199546485260771,0.24126984126984127,12.0,24.13,71.97
Safety Goggles,422,1486,0.09569160997732426,0.33696145124716553,9.57,33.7,57.41
Life Orb,398,1884,0.09024943310657596,0.4272108843537415,9.02,42.72,54.15
Sitrus Berry,348,2232,0.07891156462585033,0.5061224489795918,7.89,50.61,47.35
Loaded Dice,294,2526,0.06666666666666667,0.5727891156462585,6.67,57.28,40.0
Covert Cloak,258,2784,0.058503401360544216,0.6312925170068027,5.85,63.13,35.1
Eviolite,226,3010,0.05124716553287982,0.6825396825396824,5.12,68.25,30.75
Choice Specs,142,3152,0.03219954648526077,0.7147392290249432,3.22,71.47,19.32
Choice Band,134,3286,0.030385487528344673,0.7451247165532879,3.04,74.51,18.23
