Pokémon,Frecuencia Absoluta,Frecuencia Acumulada,Frecuencia Relativa,Frecuencia Relativa Acumulada,Frecuencia Relativa (%),Frecuencia Relativa Acumulada (%)
Incineroar,338,338,0.07592093441150045,0.07592093441150045,7.59,7.59
Sneasler,288,626,0.0646900269541779,0.14061096136567836,6.47,14.06
Gholdengo,275,901,0.061769991015274035,0.20238095238095238,6.18,20.24
Dragonite,248,1149,0.055705300988319856,0.25808625336927227,5.57,25.81
Archaludon,219,1368,0.04919137466307277,0.30727762803234504,4.92,30.73
Ursaluna-Bloodmoon,198,1566,0.0444743935309973,0.35175202156334234,4.45,35.18
Amoonguss,177,1743,0.03975741239892183,0.3915094339622642,3.98,39.15
Rillaboom,175,1918,0.03930817610062893,0.4308176100628931,3.93,43.08
Pelipper,166,2084,0.03728661275831087,0.46810422282120395,3.73,46.81
Annihilape,142,2226,0.03189577717879605,0.5,3.19,50.0
